DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	100.821301     	134.930197     	0.844938       	0.000000       	0.844938       	10.031542      	0.025079       	1.421928       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	109.214166     	126.145781     	0.811370       	0.000000       	0.811370       	8.415753       	0.021039       	1.180034       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	116.492663     	118.366026     	0.777453       	0.000000       	0.777453       	7.298549       	0.018246       	1.258659       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	121.712200     	112.983489     	0.697294       	0.000000       	0.697294       	5.234267       	0.013086       	0.845564       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	128.054141     	106.562119     	0.721646       	0.000000       	0.721646       	6.359577       	0.015899       	0.783439       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	134.153901     	100.152869     	0.715250       	0.000000       	0.715250       	6.116798       	0.015292       	1.007702       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	139.747916     	94.424764      	0.699829       	0.000000       	0.699829       	5.609785       	0.014024       	0.818149       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	145.281146     	88.939781      	0.697677       	0.000000       	0.697677       	5.548878       	0.013872       	0.633782       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	150.063453     	84.090725      	0.668913       	0.000000       	0.668913       	4.796036       	0.011990       	0.721933       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	153.981784     	80.364308      	0.627063       	0.000000       	0.627063       	3.929819       	0.009825       	0.423661       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	157.912102     	76.415267      	0.616072       	0.000000       	0.616072       	3.941836       	0.009855       	0.623277       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	161.655238     	72.591220      	0.602324       	0.000000       	0.602324       	3.754177       	0.009385       	0.672193       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	165.207942     	69.112046      	0.590325       	0.000000       	0.590325       	3.563264       	0.008908       	0.506235       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	167.586461     	67.100746      	0.572370       	0.000000       	0.572370       	2.387398       	0.005968       	0.196272       	0.002911       	0.000843       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	168.686767     	66.327219      	0.453936       	0.000000       	0.453936       	1.143212       	0.002858       	0.084250       	0.040049       	0.012396       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	170.112536     	65.242251      	0.462767       	0.000000       	0.462767       	1.464003       	0.003660       	0.083733       	0.034573       	0.009060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	171.652854     	64.067683      	0.467062       	0.000000       	0.467062       	1.582369       	0.003956       	0.059262       	0.038095       	0.010485       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	173.833685     	62.197813      	0.530737       	0.000000       	0.530737       	2.231129       	0.005578       	0.169478       	0.044721       	0.011245       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	176.703656     	59.609040      	0.609287       	0.000000       	0.609287       	2.930559       	0.007326       	0.267501       	0.053261       	0.012815       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974722   	178.005824     	58.560977      	0.462807       	0.000000       	0.462807       	1.389664       	0.003483       	0.121206       	0.084013       	0.016395       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500256   	179.495158     	57.398377      	0.474466       	0.000000       	0.474466       	1.538699       	0.003847       	0.098367       	0.045519       	0.011638       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000345   	181.287769     	55.887962      	0.499911       	0.000000       	0.499911       	1.845174       	0.004613       	0.165153       	0.047950       	0.011964       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500437   	183.185846     	54.226303      	0.499908       	0.000000       	0.499908       	1.952819       	0.004882       	0.208748       	0.049861       	0.012309       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985418   	185.315168     	52.253829      	0.515019       	0.000000       	0.515019       	2.177853       	0.005445       	0.309640       	0.043086       	0.008772       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456338   	187.565293     	50.249205      	0.529080       	0.000000       	0.529080       	2.293373       	0.005733       	0.240331       	0.037515       	0.007129       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911452   	189.880032     	48.134749      	0.544887       	0.000000       	0.544887       	2.354736       	0.005887       	0.304607       	0.034111       	0.006290       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379463   	191.714376     	46.616400      	0.531989       	0.000000       	0.531989       	1.865315       	0.004663       	0.185022       	0.026307       	0.004791       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796828   	193.620851     	44.997512      	0.582635       	0.000000       	0.582635       	1.936604       	0.004842       	0.264919       	0.025288       	0.004551       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256666   	195.151001     	43.851501      	0.540162       	0.000000       	0.540162       	1.556675       	0.003892       	0.129498       	0.022633       	0.004282       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774043   	196.246927     	43.099673      	0.482624       	0.000000       	0.482624       	1.151527       	0.002879       	0.082925       	0.052722       	0.015149       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333648   	196.998533     	42.536044      	0.440394       	0.000000       	0.440394       	0.921008       	0.002881       	0.083016       	0.166520       	0.032656       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852743   	197.969688     	41.831196      	0.480905       	0.000000       	0.480905       	1.124088       	0.003283       	0.061665       	0.149649       	0.027072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492787   	198.776013     	41.107170      	0.359956       	0.000000       	0.359956       	1.006640       	0.002536       	0.077343       	0.197779       	0.024266       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125429   	199.556443     	40.226799      	0.367358       	0.000000       	0.367358       	1.124129       	0.002957       	0.123600       	0.340742       	0.027846       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815733   	200.338620     	39.292369      	0.309696       	0.000000       	0.309696       	1.106317       	0.003033       	0.137809       	0.321106       	0.018856       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416180   	201.696832     	38.039763      	0.399552       	0.000000       	0.399552       	1.566992       	0.003919       	0.085166       	0.204860       	0.013116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922314   	202.890350     	37.027609      	0.493866       	0.000000       	0.493866       	1.430333       	0.003602       	0.075687       	0.233213       	0.026590       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384687   	204.014795     	36.145919      	0.537627       	0.000000       	0.537627       	1.341929       	0.003374       	0.077389       	0.214110       	0.027273       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850173   	204.847662     	35.595916      	0.534514       	0.000000       	0.534514       	1.030049       	0.002607       	0.054469       	0.194575       	0.026264       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354554   	205.552517     	35.123546      	0.495618       	0.000000       	0.495618       	0.876957       	0.002210       	0.091031       	0.169892       	0.023836       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880782   	206.085598     	34.783186      	0.473773       	0.000000       	0.473773       	0.763426       	0.002279       	0.050707       	0.228066       	0.029848       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.468016   	206.388520     	34.583129      	0.412766       	0.000000       	0.412766       	0.581239       	0.002825       	0.031583       	0.275491       	0.027142       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073351   	206.743674     	34.265773      	0.394665       	0.000000       	0.394665       	0.668734       	0.003837       	0.043286       	0.309744       	0.020593       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666485   	207.171803     	33.955733      	0.406866       	0.000000       	0.406866       	0.688439       	0.001881       	0.028467       	0.258429       	0.019392       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207288   	207.816361     	33.467969      	0.459197       	0.000000       	0.459197       	0.883701       	0.002399       	0.063261       	0.236744       	0.022561       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714236   	208.643584     	32.808434      	0.493052       	0.000000       	0.493052       	1.043491       	0.002674       	0.109097       	0.213593       	0.024173       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208668   	209.574056     	32.112716      	0.505567       	0.000000       	0.505567       	1.129101       	0.002899       	0.072183       	0.195730       	0.024268       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.696978   	210.518659     	31.397115      	0.511690       	0.000000       	0.511690       	1.130715       	0.002877       	0.096576       	0.183235       	0.024333       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180519   	211.452798     	30.660605      	0.516459       	0.000000       	0.516459       	1.112315       	0.002822       	0.140653       	0.175354       	0.023833       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653110   	212.383786     	29.937215      	0.527409       	0.000000       	0.527409       	1.107278       	0.002811       	0.143521       	0.173480       	0.023661       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087261   	213.420293     	29.184630      	0.565850       	0.000000       	0.565850       	1.218424       	0.003077       	0.100011       	0.178840       	0.024375       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516094   	214.379003     	28.542820      	0.571166       	0.000000       	0.571166       	1.140725       	0.002891       	0.072251       	0.179125       	0.024206       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15562.925536   	215.319966     	27.927283      	0.590559       	0.000000       	0.590559       	1.123639       	0.002858       	0.082456       	0.179817       	0.024179       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15562.336424   	216.169107     	27.417508      	0.589111       	0.000000       	0.589111       	1.029467       	0.002635       	0.069419       	0.177690       	0.023722       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15561.700941   	217.090435     	26.854456      	0.635484       	0.000000       	0.635484       	1.105813       	0.002841       	0.092723       	0.181644       	0.024223       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15561.018213   	218.068147     	26.242101      	0.682728       	0.000000       	0.682728       	1.169719       	0.003019       	0.125365       	0.188987       	0.025118       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15560.287250   	223.609937     	36.070490      	0.730963       	0.000000       	0.730963       	1.984023       	0.005076       	0.168550       	0.187157       	0.024661       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15559.589333   	225.307808     	34.749825      	0.697917       	0.000000       	0.697917       	1.888866       	0.004862       	0.129717       	0.186133       	0.024455       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15558.906811   	226.939356     	33.411023      	0.682522       	0.000000       	0.682522       	1.823095       	0.004725       	0.198229       	0.186823       	0.024478       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15558.231913   	228.462464     	32.237353      	0.674898       	0.000000       	0.674898       	1.714795       	0.004485       	0.133773       	0.187202       	0.024459       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15557.561145   	229.822409     	31.174727      	0.670767       	0.000000       	0.670767       	1.549617       	0.004105       	0.183776       	0.185567       	0.024166       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15556.932866   	230.776279     	30.593549      	0.628279       	0.000000       	0.628279       	1.130839       	0.003093       	0.078619       	0.173876       	0.022476       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15556.299355   	231.845830     	29.833565      	0.633511       	0.000000       	0.633511       	1.244642       	0.003412       	0.148854       	0.171678       	0.022300       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15555.649037   	232.982839     	29.032284      	0.650318       	0.000000       	0.650318       	1.316503       	0.003628       	0.135095       	0.175867       	0.022894       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-13	15554.958970   	234.206438     	28.178211      	0.690067       	0.000000       	0.690067       	1.411413       	0.003903       	0.132728       	0.183910       	0.023976       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-14	15554.265599   	235.302975     	27.471968      	0.693372       	0.000000       	0.693372       	1.288171       	0.003637       	0.111443       	0.187997       	0.024430       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-15	15553.412449   	236.357712     	26.957602      	0.853150       	0.000000       	0.853150       	1.250624       	0.003589       	0.116891       	0.192299       	0.024964       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-16	15552.551201   	236.405492     	27.033225      	0.861248       	0.000000       	0.861248       	0.731362       	0.007695       	0.054263       	0.675887       	0.050606       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-17	15551.673710   	236.482816     	27.102366      	0.877491       	0.000000       	0.877491       	0.744591       	0.008921       	0.063759       	0.658346       	0.052095       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-18	15551.101562   	236.593026     	27.069716      	0.572147       	0.000000       	0.572147       	0.582629       	0.005725       	0.022168       	0.466694       	0.022985       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-19	15550.498800   	236.730588     	26.997571      	0.602762       	0.000000       	0.602762       	0.652182       	0.009192       	0.022725       	0.505429       	0.021628       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-20	15549.795235   	236.962913     	26.848436      	0.703565       	0.000000       	0.703565       	0.830427       	0.006767       	0.021955       	0.511245       	0.023988       	0.080090       	0.000318       	0.000000       	0.000000       
