DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15611.626104   	39.663371      	58.777846      	52.724996      	0.000000       	52.724996      	2.672105       	0.006680       	0.275045       	0.002054       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15610.794651   	42.560832      	56.465935      	0.831452       	0.000000       	0.831452       	2.906727       	0.007267       	0.236636       	0.001999       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15609.995396   	45.298162      	54.286035      	0.799256       	0.000000       	0.799256       	2.746062       	0.006865       	0.233093       	0.001867       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15609.230032   	47.814638      	52.263433      	0.765364       	0.000000       	0.765364       	2.524364       	0.006311       	0.263603       	0.001577       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15608.460400   	50.449712      	50.026409      	0.769632       	0.000000       	0.769632       	2.643295       	0.006608       	0.363361       	0.001613       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15607.726500   	52.788421      	48.167234      	0.733900       	0.000000       	0.733900       	2.346125       	0.005865       	0.246950       	0.001550       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15606.985222   	55.247240      	46.210113      	0.741278       	0.000000       	0.741278       	2.466580       	0.006166       	0.231819       	0.001595       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15606.237678   	57.767838      	44.235213      	0.747544       	0.000000       	0.747544       	2.528551       	0.006321       	0.193893       	0.001631       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15605.521358   	59.989648      	42.340041      	0.716320       	0.000000       	0.716320       	2.228969       	0.005572       	0.382523       	0.001586       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15604.834653   	61.996263      	40.714651      	0.686705       	0.000000       	0.686705       	2.013195       	0.005033       	0.298900       	0.001547       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15604.105132   	64.423779      	38.666057      	0.729521       	0.000000       	0.729521       	2.435280       	0.006088       	0.342835       	0.001675       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15603.377163   	66.742049      	36.794521      	0.727969       	0.000000       	0.727969       	2.325786       	0.005814       	0.273719       	0.001702       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15602.659821   	68.909460      	35.021560      	0.717342       	0.000000       	0.717342       	2.174562       	0.005436       	0.315741       	0.001714       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15601.917139   	70.601391      	33.928571      	0.742683       	0.000000       	0.742683       	1.700867       	0.004252       	0.134805       	0.004685       	0.001026       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15601.240313   	72.055340      	33.055282      	0.676826       	0.000000       	0.676826       	1.459832       	0.003650       	0.090283       	0.002233       	0.000281       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15600.626557   	73.376311      	32.185995      	0.613755       	0.000000       	0.613755       	1.325750       	0.003314       	0.157292       	0.001465       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15600.009066   	74.886227      	31.225866      	0.617491       	0.000000       	0.617491       	1.515228       	0.003788       	0.062393       	0.001524       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15599.394428   	76.466468      	30.114502      	0.614638       	0.000000       	0.614638       	1.585777       	0.003964       	0.140224       	0.001571       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15598.805289   	77.910368      	29.040995      	0.589139       	0.000000       	0.589139       	1.449078       	0.003623       	0.213568       	0.001556       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15598.185957   	79.565567      	27.857265      	0.619332       	0.000000       	0.619332       	1.661018       	0.004153       	0.142044       	0.001666       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15597.583294   	81.073992      	26.785165      	0.602662       	0.000000       	0.602662       	1.513876       	0.003785       	0.160887       	0.001665       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15596.953744   	82.726729      	25.579781      	0.629551       	0.000000       	0.629551       	1.658652       	0.004147       	0.176283       	0.001769       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15596.344181   	84.191078      	24.565588      	0.609563       	0.000000       	0.609563       	1.469782       	0.003674       	0.153974       	0.001758       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15595.747013   	85.561200      	23.653674      	0.597168       	0.000000       	0.597168       	1.375317       	0.003438       	0.133766       	0.001756       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15595.165587   	86.838339      	22.846151      	0.581426       	0.000000       	0.581426       	1.282088       	0.003205       	0.106861       	0.001744       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15594.580136   	88.138822      	21.996443      	0.585451       	0.000000       	0.585451       	1.305530       	0.003264       	0.129630       	0.001782       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
