num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
1,0,2005-01-01,2005,1,1,150.0,0.0,30.0,3052.1739000000002,0.0,1439.8265399999998,4492.00044,-100.00999450683594,True,,SoybeanMG.3,"[1, 13, 5, 2, 10, 0, 5]"
2,0,2005-01-08,2005,8,1,90.0,8.0,60.0,1831.3043400000001,797.832064,2879.6530799999996,5508.789483999999,-2.0161406993865967,False,,,"[1, 5, 7, 4, 6, 1, 10]"
3,0,2005-01-15,2005,15,1,45.0,64.0,30.0,915.6521700000001,6382.656512,1439.8265399999998,8738.135221999999,-1.5050245523452759,False,,,"[1, 4, 9, 9, 3, 8, 5]"
4,0,2005-01-22,2005,22,1,120.0,80.0,12.0,2441.73912,7978.32064,575.930616,10995.990376,-1.167559266090393,False,,,"[0, 13, 0, 6, 8, 10, 2]"
5,0,2005-01-29,2005,29,1,0.0,40.0,30.0,0.0,3989.16032,1439.8265399999998,5428.98686,-0.47933292388916016,False,,,"[1, 2, 1, 7, 0, 5, 5]"
6,0,2005-02-05,2005,36,1,60.0,0.0,54.0,1220.86956,0.0,2591.6877719999998,3812.557332,-0.30623096227645874,False,,,"[1, 6, 6, 5, 4, 0, 9]"
7,0,2005-02-12,2005,43,1,45.0,16.0,36.0,915.6521700000001,1595.664128,1727.7918479999998,4239.108146,-0.31703445315361023,False,,,"[0, 1, 0, 1, 3, 2, 6]"
8,0,2005-02-19,2005,50,1,45.0,32.0,54.0,915.6521700000001,3191.328256,2591.6877719999998,6698.668197999999,-0.45823487639427185,False,,,"[0, 1, 1, 4, 3, 4, 9]"
9,0,2005-02-26,2005,57,1,45.0,24.0,60.0,915.6521700000001,2393.4961919999996,2879.6530799999996,6188.801442,-0.38730841875076294,False,,,"[0, 1, 0, 3, 3, 3, 10]"
10,0,2005-03-05,2005,64,1,105.0,80.0,0.0,2136.52173,7978.32064,0.0,10114.84237,-0.561468780040741,False,,,"[1, 3, 7, 7, 7, 10, 0]"
11,0,2005-03-12,2005,71,1,75.0,72.0,48.0,1526.0869500000001,7180.488576,2303.722464,11010.297990000001,-0.5344021916389465,False,,,"[0, 7, 2, 7, 5, 9, 8]"
12,0,2005-03-19,2005,78,1,15.0,8.0,36.0,305.21739,797.832064,1727.7918479999998,2830.841302,-0.12662014365196228,False,,,"[1, 3, 2, 7, 1, 1, 6]"
13,0,2005-03-26,2005,85,1,15.0,8.0,42.0,305.21739,797.832064,2015.757156,3118.8066099999996,-0.13179859519004822,False,,,"[1, 7, 9, 9, 1, 1, 7]"
14,0,2005-04-02,2005,92,1,45.0,64.0,12.0,915.6521700000001,6382.656512,575.930616,7874.2392979999995,-0.3126995861530304,False,,,"[1, 12, 9, 7, 3, 8, 2]"
15,0,2005-04-09,2005,99,1,90.0,32.0,24.0,1831.3043400000001,3191.328256,1151.861232,6174.493828,-0.23149089515209198,False,,,"[1, 0, 6, 5, 6, 4, 4]"
16,0,2005-04-16,2005,106,1,60.0,80.0,18.0,1220.86956,7978.32064,863.8959239999999,10063.086124000001,-0.35273268818855286,False,,,"[0, 6, 3, 9, 4, 10, 3]"
17,0,2005-04-23,2005,113,1,120.0,8.0,18.0,2441.73912,797.832064,863.8959239999999,4103.467108000001,-0.1364252269268036,False,,,"[0, 5, 9, 5, 8, 1, 3]"
18,0,2005-04-30,2005,120,1,45.0,0.0,24.0,915.6521700000001,0.0,1151.861232,2067.513402,-0.06617686152458191,False,,,"[1, 5, 1, 4, 3, 0, 4]"
19,0,2005-05-07,2005,127,1,120.0,0.0,24.0,2441.73912,0.0,1151.861232,3593.6003520000004,-0.11144867539405823,False,,,"[0, 3, 2, 2, 8, 0, 4]"
20,0,2005-05-14,2005,134,1,60.0,64.0,48.0,1220.86956,6382.656512,2303.722464,9907.248536,-0.2949874997138977,False,,,"[0, 2, 8, 9, 4, 8, 8]"
21,0,2005-05-21,2005,141,1,30.0,0.0,36.0,610.43478,0.0,1727.7918479999998,2338.226628,-0.06747840344905853,False,,,"[1, 12, 7, 4, 2, 0, 6]"
22,0,2005-05-28,2005,148,1,150.0,8.0,42.0,3052.1739000000002,797.832064,2015.757156,5865.76312,-0.16412238776683807,False,,,"[0, 4, 8, 3, 10, 1, 7]"
23,0,2005-06-04,2005,155,1,90.0,56.0,6.0,1831.3043400000001,5584.824447999999,287.965308,7704.094096,-0.2084081470966339,False,,,"[1, 12, 0, 0, 6, 7, 1]"
