DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	57.168964      	115.928209     	67.930922      	0.000000       	67.930922      	5.183953       	0.012960       	0.818761       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	62.582483      	110.969715     	0.836899       	0.000000       	0.836899       	5.429209       	0.013573       	0.366183       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	67.830792      	106.018294     	0.814482       	0.000000       	0.814482       	5.263501       	0.013159       	0.502402       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	72.740586      	101.410507     	0.776384       	0.000000       	0.776384       	4.923987       	0.012310       	0.460183       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	77.703487      	96.838261      	0.767723       	0.000000       	0.767723       	4.976980       	0.012442       	0.362989       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	83.310626      	91.424652      	0.800831       	0.000000       	0.800831       	5.622938       	0.014057       	0.591502       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	89.058207      	85.739340      	0.820015       	0.000000       	0.820015       	5.763800       	0.014409       	0.741527       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	135.666038     	173.087061     	0.844938       	0.000000       	0.844938       	12.891961      	0.032230       	1.855257       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	146.420112     	161.575946     	0.811370       	0.000000       	0.811370       	10.782880      	0.026957       	1.539605       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	155.721118     	151.385123     	0.777453       	0.000000       	0.777453       	9.326127       	0.023315       	1.642149       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	162.348591     	144.333517     	0.697294       	0.000000       	0.697294       	6.645730       	0.016614       	1.103171       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	170.431140     	135.928518     	0.721646       	0.000000       	0.721646       	8.104548       	0.020261       	1.022097       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	178.195513     	127.543565     	0.715250       	0.000000       	0.715250       	7.785583       	0.019464       	1.314620       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	185.300147     	120.051900     	0.699829       	0.000000       	0.699829       	7.124190       	0.017810       	1.067304       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	231.956107     	207.470253     	0.697677       	0.000000       	0.697677       	12.940086      	0.032350       	1.589238       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
