DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15584.908860   	83.136309      	191.608060     	79.442240      	0.000000       	79.442240      	8.844344       	0.022111       	0.489835       	0.185925       	0.000116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15584.089813   	90.420227      	184.558305     	0.819047       	0.000000       	0.819047       	7.373817       	0.018435       	0.494986       	0.071464       	0.011996       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15583.277915   	98.024346      	176.803915     	0.811898       	0.000000       	0.811898       	7.667347       	0.019168       	0.898941       	0.044060       	0.006858       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15582.566584   	103.277711     	171.555426     	0.711330       	0.000000       	0.711330       	5.331888       	0.013330       	0.627931       	0.065194       	0.011098       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15581.837823   	109.140600     	165.644274     	0.728762       	0.000000       	0.728762       	5.956538       	0.014891       	0.683376       	0.078757       	0.013366       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15581.098043   	115.573947     	159.227598     	0.739780       	0.000000       	0.739780       	6.497611       	0.016244       	0.658845       	0.048020       	0.008071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15580.407705   	121.153278     	153.766408     	0.690338       	0.000000       	0.690338       	5.634797       	0.014087       	0.516730       	0.041380       	0.006689       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15579.693321   	169.901355     	254.565423     	0.714384       	0.000000       	0.714384       	11.322105      	0.028305       	1.093265       	0.045722       	0.007167       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15578.983203   	181.633528     	241.388826     	0.710118       	0.000000       	0.710118       	11.799483      	0.029499       	2.087232       	0.037812       	0.004992       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15578.291409   	191.983042     	230.226941     	0.691795       	0.000000       	0.691795       	10.406364      	0.026016       	1.447316       	0.030833       	0.003523       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15577.653059   	199.388548     	222.626670     	0.638350       	0.000000       	0.638350       	7.448915       	0.018622       	0.789707       	0.024786       	0.002736       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15576.967339   	207.623937     	214.336087     	0.685719       	0.000000       	0.685719       	8.300813       	0.020752       	0.675489       	0.044672       	0.010924       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15576.354414   	214.067530     	207.966334     	0.612925       	0.000000       	0.612925       	6.489280       	0.016223       	0.493398       	0.029463       	0.005616       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15575.750496   	220.882663     	200.442834     	0.603918       	0.000000       	0.603918       	6.858615       	0.017147       	1.268803       	0.026336       	0.003362       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15575.094212   	273.074808     	296.798168     	0.656283       	0.000000       	0.656283       	14.759892      	0.036900       	2.041057       	0.030847       	0.003645       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15574.374470   	291.537402     	277.204512     	0.719742       	0.000000       	0.719742       	18.540215      	0.046351       	1.773183       	0.031271       	0.003501       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15573.711431   	305.270331     	261.527074     	0.663039       	0.000000       	0.663039       	13.790873      	0.034477       	2.549604       	0.023468       	0.002586       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15573.101389   	315.880944     	250.290061     	0.610041       	0.000000       	0.610041       	10.656129      	0.026640       	1.190926       	0.018875       	0.002055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15572.454269   	328.752016     	236.612781     	0.647121       	0.000000       	0.647121       	12.922662      	0.032307       	1.401738       	0.019283       	0.002074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15571.773822   	338.336775     	226.895228     	0.680447       	0.000000       	0.680447       	9.641519       	0.024104       	0.756481       	0.032657       	0.011506       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15571.195074   	344.761287     	220.371931     	0.578748       	0.000000       	0.578748       	6.715730       	0.018395       	0.386314       	0.272823       	0.070463       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15570.665860   	391.837178     	322.170156     	0.529214       	0.000000       	0.529214       	9.966792       	0.025481       	1.264197       	0.365420       	0.064730       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15570.118666   	402.141473     	311.562677     	0.547194       	0.000000       	0.547194       	10.575290      	0.026719       	0.579382       	0.244277       	0.045134       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15569.583560   	411.428113     	301.859219     	0.535106       	0.000000       	0.535106       	9.495436       	0.024012       	0.743130       	0.184784       	0.037749       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15569.038667   	421.350980     	291.517844     	0.544892       	0.000000       	0.544892       	10.106824      	0.025267       	0.779442       	0.158690       	0.037735       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15568.535732   	429.887739     	282.287506     	0.502935       	0.000000       	0.502935       	8.697562       	0.021744       	1.035712       	0.139059       	0.033788       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15568.056104   	438.172469     	272.914317     	0.479628       	0.000000       	0.479628       	8.431715       	0.021079       	1.421103       	0.125906       	0.028000       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15567.591603   	446.271779     	263.218731     	0.464501       	0.000000       	0.464501       	8.232150       	0.020580       	1.927937       	0.112259       	0.023390       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15567.120139   	496.634931     	360.587311     	0.471464       	0.000000       	0.471464       	13.003773      	0.032509       	2.599110       	0.108112       	0.021928       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15566.570086   	510.457893     	346.164107     	0.550054       	0.000000       	0.550054       	13.966942      	0.034917       	1.006316       	0.109062       	0.022170       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15566.126012   	518.678532     	337.398620     	0.444074       	0.000000       	0.444074       	8.579270       	0.021587       	0.630290       	0.337045       	0.055822       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15565.623561   	529.783196     	325.563771     	0.502451       	0.000000       	0.502451       	11.385287      	0.029756       	0.952013       	0.250866       	0.052452       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15565.066187   	543.603960     	310.528140     	0.557373       	0.000000       	0.557373       	14.085876      	0.036659       	1.507129       	0.228453       	0.054881       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15564.500632   	558.296427     	294.051527     	0.565555       	0.000000       	0.565555       	14.939481      	0.038541       	2.102687       	0.208472       	0.053864       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15563.954391   	571.643251     	279.508756     	0.546241       	0.000000       	0.546241       	13.568850      	0.033922       	1.520162       	0.188104       	0.046094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15563.340229   	632.026846     	366.826216     	0.614163       	0.000000       	0.614163       	23.132099      	0.057830       	2.664604       	0.190674       	0.044861       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15562.760903   	645.339113     	352.583495     	0.579326       	0.000000       	0.579326       	13.540913      	0.033852       	1.281133       	0.194794       	0.054371       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15562.236290   	656.037460     	341.012216     	0.524612       	0.000000       	0.524612       	11.055894      	0.027775       	1.039998       	0.329772       	0.085584       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15561.803872   	663.552112     	332.662334     	0.432418       	0.000000       	0.432418       	7.967049       	0.020681       	0.815251       	0.431716       	0.079461       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15561.327199   	674.092719     	320.834921     	0.476673       	0.000000       	0.476673       	10.911917      	0.028060       	1.392169       	0.343250       	0.067343       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15560.760571   	689.658504     	304.187622     	0.566628       	0.000000       	0.566628       	15.938791      	0.040391       	1.275135       	0.332615       	0.080789       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15560.186205   	705.734540     	286.943529     	0.574367       	0.000000       	0.574367       	16.404643      	0.041501       	1.413816       	0.287106       	0.074061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15559.580538   	764.483876     	376.343596     	0.605667       	0.000000       	0.605667       	21.569735      	0.054283       	2.135866       	0.266116       	0.069494       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15558.948224   	788.098336     	348.888733     	0.632314       	0.000000       	0.632314       	23.946822      	0.059970       	4.140355       	0.272393       	0.072008       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15558.364504   	801.985288     	334.537009     	0.583720       	0.000000       	0.583720       	14.163493      	0.035512       	0.771950       	0.241030       	0.062641       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15557.784444   	816.114980     	319.338924     	0.580060       	0.000000       	0.580060       	14.401651      	0.036129       	1.376494       	0.235830       	0.061335       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15557.227417   	830.420153     	303.447575     	0.557027       	0.000000       	0.557027       	14.575870      	0.036587       	1.872507       	0.234109       	0.060359       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15556.665957   	844.187307     	288.635611     	0.561460       	0.000000       	0.561460       	14.024092      	0.035232       	1.349331       	0.221705       	0.056175       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15556.108647   	854.343975     	277.454272     	0.557310       	0.000000       	0.557310       	10.401255      	0.026200       	1.337394       	0.218387       	0.059892       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15555.572502   	906.063341     	374.732014     	0.536145       	0.000000       	0.536145       	14.454944      	0.036360       	1.303459       	0.199218       	0.051022       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15555.047860   	919.210300     	359.946044     	0.524642       	0.000000       	0.524642       	13.843276      	0.034912       	1.467335       	0.661405       	0.155347       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15554.655305   	931.238250     	346.173263     	0.392555       	0.000000       	0.392555       	12.894030      	0.032757       	1.271306       	0.833323       	0.103652       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15554.194600   	944.620388     	331.355859     	0.460705       	0.000000       	0.460705       	14.126462      	0.035468       	1.151648       	0.708856       	0.116491       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15553.707796   	957.963996     	316.508323     	0.486804       	0.000000       	0.486804       	13.981843      	0.035004       	1.352497       	0.603231       	0.098942       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15553.181806   	973.338386     	299.837804     	0.525991       	0.000000       	0.525991       	15.953428      	0.039906       	1.243082       	0.539132       	0.125312       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15552.673454   	986.239930     	285.439544     	0.508351       	0.000000       	0.508351       	13.365933      	0.033533       	1.540679       	0.430855       	0.109830       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15552.184220   	1036.050232    	384.541610     	0.489234       	0.000000       	0.489234       	12.715119      	0.031887       	1.172049       	0.372930       	0.107018       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15551.710699   	1048.143656    	371.285368     	0.473522       	0.000000       	0.473522       	12.446104      	0.031180       	1.283660       	0.321500       	0.096371       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15551.221458   	1061.910547    	356.131012     	0.489241       	0.000000       	0.489241       	14.115877      	0.035337       	1.527720       	0.313648       	0.097368       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15550.747532   	1074.914398    	341.867719     	0.473926       	0.000000       	0.473926       	13.343896      	0.033406       	1.393323       	0.306639       	0.095342       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15550.280141   	1085.028070    	330.191336     	0.467391       	0.000000       	0.467391       	10.629586      	0.026628       	1.514188       	0.489285       	0.137620       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15549.793877   	1095.827791    	318.501254     	0.486264       	0.000000       	0.486264       	11.309378      	0.028332       	0.866968       	0.481326       	0.138484       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15549.270896   	1108.585455    	305.034579     	0.522982       	0.000000       	0.522982       	13.218507      	0.033099       	0.771149       	0.427745       	0.128902       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15548.691823   	1168.428749    	393.491418     	0.579073       	0.000000       	0.579073       	22.803139      	0.057055       	1.819094       	0.402791       	0.131739       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15548.113196   	1191.179350    	368.147959     	0.578627       	0.000000       	0.578627       	23.200695      	0.058041       	2.721391       	0.392053       	0.128045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15547.512410   	1209.936909    	348.145264     	0.600786       	0.000000       	0.600786       	19.180651      	0.048000       	1.422830       	0.375091       	0.119400       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15546.909436   	1229.657248    	326.001666     	0.602974       	0.000000       	0.602974       	20.156656      	0.050451       	2.589916       	0.385866       	0.122498       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15546.311213   	1249.735869    	303.419067     	0.598223       	0.000000       	0.598223       	20.514325      	0.051359       	2.666497       	0.384345       	0.120323       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15545.717438   	1268.925905    	281.651313     	0.593775       	0.000000       	0.593775       	19.620577      	0.049141       	2.740953       	0.381400       	0.117736       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15545.155781   	1278.521038    	271.154476     	0.561657       	0.000000       	0.561657       	10.045351      	0.025220       	1.013142       	0.424998       	0.145258       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15544.542811   	1330.643265    	352.759576     	0.612970       	0.000000       	0.612970       	18.844441      	0.047232       	1.413429       	0.424984       	0.144901       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-13	15543.921165   	1349.659764    	331.209571     	0.621646       	0.000000       	0.621646       	19.490955      	0.048868       	2.680697       	0.425587       	0.142769       	0.000000       	0.000000       	0.000000       	0.000000       
