DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15591.702599   	82.919213      	169.321100     	72.648501      	0.000000       	72.648501      	12.202209      	0.030506       	1.375192       	0.002491       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15590.706533   	94.010552      	157.966983     	0.996066       	0.000000       	0.996066       	11.121466      	0.027804       	1.228717       	0.002323       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15589.865035   	100.785020     	151.600791     	0.841498       	0.000000       	0.841498       	6.793136       	0.016983       	0.414554       	0.001685       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15589.049244   	107.749030     	143.963257     	0.815791       	0.000000       	0.815791       	6.983150       	0.017458       	1.470174       	0.001682       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15588.177141   	116.681579     	134.083556     	0.872103       	0.000000       	0.872103       	8.956777       	0.022392       	1.795028       	0.001837       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15587.257764   	126.509602     	123.734385     	0.919376       	0.000000       	0.919376       	9.854633       	0.024637       	1.413914       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15586.365136   	134.914040     	115.313624     	0.892628       	0.000000       	0.892628       	8.427458       	0.021069       	0.885932       	0.001951       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15585.498789   	182.682527     	201.987316     	0.866347       	0.000000       	0.866347       	14.055562      	0.035139       	1.387092       	0.001937       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15584.639843   	196.271150     	187.253570     	0.858946       	0.000000       	0.858946       	13.624649      	0.034062       	1.968044       	0.001963       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15583.780450   	209.568355     	172.504255     	0.859393       	0.000000       	0.859393       	13.332546      	0.033331       	2.276162       	0.002010       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15582.936999   	221.640920     	159.294869     	0.843451       	0.000000       	0.843451       	12.104849      	0.030262       	1.947989       	0.002021       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15582.123957   	232.114558     	148.382244     	0.813042       	0.000000       	0.813042       	10.501891      	0.026255       	1.223776       	0.001998       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15581.345736   	241.216664     	138.746475     	0.778220       	0.000000       	0.778220       	9.126883       	0.022817       	1.287107       	0.001960       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15580.606686   	249.029210     	130.039934     	0.739050       	0.000000       	0.739050       	7.834038       	0.019585       	1.611553       	0.001906       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15579.838264   	258.233092     	119.992182     	0.768422       	0.000000       	0.768422       	9.228976       	0.023072       	1.587198       	0.002023       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.055137   	267.485350     	109.755660     	0.783127       	0.000000       	0.783127       	9.277565       	0.023194       	1.742084       	0.002112       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
